n;Ocasiao_1;Ocasiao_2
1.00;132.30;
2.00;122.90;
3.00;133.30;
4.00;124.80;
5.00;127.50;
6.00;116.40;
7.00;120.00;
8.00;140.60;
9.00;116.80;
10.00;113.90;
11.00;138.70;
12.00;144.50;
13.00;104.00;
14.00;157.40;
15.00;116.20;
16.00;100.10;
17.00;164.40;
18.00;195.70;
19.00;129.80;
20.00;102.10;
21.00;140.70;
22.00;187.00;
23.00;64.60;
24.00;129.60;
25.00;147.30;
26.00;151.90;
27.00;110.70;
28.00;147.10;
29.00;101.80;
30.00;146.50;
31.00;139.10;177.60
32.00;190.30;232.90
33.00;100.70;165.50
34.00;102.70;181.80
35.00;98.40;164.30
36.00;68.20;103.60
37.00;42.20;68.00
38.00;91.60;145.50
39.00;91.60;137.60
40.00;77.40;123.70
41.00;91.40;146.60
42.00;91.60;141.30
43.00;123.50;174.40
44.00;108.70;164.90
45.00;108.70;164.90
46.00;93.60;134.00
47.00;42.00;57.40
48.00;53.80;84.40
49.00;138.00;202.00
50.00;173.10;207.90
51.00;121.10;171.80
52.00;81.80;154.00
53.00;64.00;101.20
54.00;145.90;189.20
55.00;168.90;226.90
56.00;186.80;239.30
